Food Item,Ingredients,Allergens,Alternative Ingredients,Calories
Masala Chai,"Tea, Milk, Spices",Dairy,"Almond milk, Soy milk",352
Dal Makhani,"Lentils, Butter, Cream",Dairy,"Oil, Coconut milk",660
Mango Shake,"Mango, Milk, Sugar",Dairy,Coconut milk,574
Cold Coffee,"Coffee, Milk, Sugar",Dairy,"Almond milk, Oat milk",158
Rajma Chawal,"Kidney Beans, Rice, Tomato",,,610
Paneer Tikka,"Paneer, Yogurt, Spices",Dairy,"Tofu, Dairy-free yogurt",781
Hara Bhara Kebab,"Spinach, Peas, Paneer",Dairy,Tofu,575
Cold Coffee,"Coffee, Milk, Sugar",Dairy,"Almond milk, Oat milk",799
Samosa,"Potatoes, Peas, Flour, Spices",Gluten,Gluten-free flour,289
Poha,,,,786
Spring Roll,"Flour, Cabbage, Carrots, Soy Sauce","Gluten, Soy","Rice paper, Tamari sauce",662
Sev Puri,,,,666
Masala Chai,"Tea, Milk, Spices",Dairy,"Almond milk, Soy milk",343
Lassi,"Yogurt, Sugar",Dairy,Coconut yogurt,604
Paneer Tikka,"Paneer, Yogurt, Spices",Dairy,"Tofu, Dairy-free yogurt",230
Lassi,"Yogurt, Sugar",Dairy,Coconut yogurt,584
Palak Paneer,"Spinach, Paneer, Cream",Dairy,"Tofu, Coconut cream",746
Dhokla,,,,120
Spring Roll,"Flour, Cabbage, Carrots, Soy Sauce","Gluten, Soy","Rice paper, Tamari sauce",266
Gulab Jamun,"Milk Solids, Sugar, Flour","Dairy, Gluten","Dairy-free milk powder, Gluten-free flour",373
Poha,,,,487
Sev Puri,,,,700
Vada Pav,,,,415
Sev Puri,,,,113
Lassi,"Yogurt, Sugar",Dairy,Coconut yogurt,341
Hara Bhara Kebab,"Spinach, Peas, Paneer",Dairy,Tofu,445
Rajma Chawal,"Kidney Beans, Rice, Tomato",,,664
Gulab Jamun,"Milk Solids, Sugar, Flour","Dairy, Gluten","Dairy-free milk powder, Gluten-free flour",439
Lassi,"Yogurt, Sugar",Dairy,Coconut yogurt,191
Rajma Chawal,"Kidney Beans, Rice, Tomato",,,466
Gulab Jamun,"Milk Solids, Sugar, Flour","Dairy, Gluten","Dairy-free milk powder, Gluten-free flour",554
Dhokla,,,,527
Gulab Jamun,"Milk Solids, Sugar, Flour","Dairy, Gluten","Dairy-free milk powder, Gluten-free flour",608
Filter Coffee,"Coffee, Milk, Sugar",Dairy,"Soy milk, Oat milk",134
Dal Makhani,"Lentils, Butter, Cream",Dairy,"Oil, Coconut milk",305
Hara Bhara Kebab,"Spinach, Peas, Paneer",Dairy,Tofu,180
Spring Roll,"Flour, Cabbage, Carrots, Soy Sauce","Gluten, Soy","Rice paper, Tamari sauce",661
Rasgulla,"Milk, Sugar",Dairy,Dairy-free milk,487
Palak Paneer,"Spinach, Paneer, Cream",Dairy,"Tofu, Coconut cream",101
Masala Chai,"Tea, Milk, Spices",Dairy,"Almond milk, Soy milk",489
Lassi,"Yogurt, Sugar",Dairy,Coconut yogurt,665
Biryani,"Rice, Spices, Yogurt",Dairy,Coconut yogurt,205
Pav Bhaji,,,,576
Butter Chicken,"Chicken, Cream, Tomato",Dairy,Coconut cream,501
Filter Coffee,"Coffee, Milk, Sugar",Dairy,"Soy milk, Oat milk",655
Biryani,"Rice, Spices, Yogurt",Dairy,Coconut yogurt,261
Aloo Tikki,"Potatoes, Breadcrumbs, Spices",Gluten,Cornflour,301
Hara Bhara Kebab,"Spinach, Peas, Paneer",Dairy,Tofu,369
Pav Bhaji,,,,370
Filter Coffee,"Coffee, Milk, Sugar",Dairy,"Soy milk, Oat milk",555
Vada Pav,,,,561
Aloo Tikki,"Potatoes, Breadcrumbs, Spices",Gluten,Cornflour,351
Rajma Chawal,"Kidney Beans, Rice, Tomato",,,395
Lassi,"Yogurt, Sugar",Dairy,Coconut yogurt,437
Masala Chai,"Tea, Milk, Spices",Dairy,"Almond milk, Soy milk",152
Butter Chicken,"Chicken, Cream, Tomato",Dairy,Coconut cream,316
Filter Coffee,"Coffee, Milk, Sugar",Dairy,"Soy milk, Oat milk",287
Paneer Tikka,"Paneer, Yogurt, Spices",Dairy,"Tofu, Dairy-free yogurt",479
Jalebi,"Flour, Sugar",Gluten,Gluten-free flour,592
Poha,,,,140
Kulfi,"Milk, Sugar, Nuts","Dairy, Nuts","Coconut milk, Nut-free version",256
Vada Pav,,,,114
Hara Bhara Kebab,"Spinach, Peas, Paneer",Dairy,Tofu,164
Lassi,"Yogurt, Sugar",Dairy,Coconut yogurt,620
Masala Chai,"Tea, Milk, Spices",Dairy,"Almond milk, Soy milk",443
Butter Chicken,"Chicken, Cream, Tomato",Dairy,Coconut cream,228
Rajma Chawal,"Kidney Beans, Rice, Tomato",,,747
Poha,,,,571
Rajma Chawal,"Kidney Beans, Rice, Tomato",,,162
Poha,,,,238
Spring Roll,"Flour, Cabbage, Carrots, Soy Sauce","Gluten, Soy","Rice paper, Tamari sauce",598
Cold Coffee,"Coffee, Milk, Sugar",Dairy,"Almond milk, Oat milk",692
Jalebi,"Flour, Sugar",Gluten,Gluten-free flour,491
Dal Makhani,"Lentils, Butter, Cream",Dairy,"Oil, Coconut milk",774
Poha,,,,518
Palak Paneer,"Spinach, Paneer, Cream",Dairy,"Tofu, Coconut cream",388
Jalebi,"Flour, Sugar",Gluten,Gluten-free flour,478
Rajma Chawal,"Kidney Beans, Rice, Tomato",,,589
Dhokla,,,,330
Lassi,"Yogurt, Sugar",Dairy,Coconut yogurt,140
Vada Pav,,,,127
Palak Paneer,"Spinach, Paneer, Cream",Dairy,"Tofu, Coconut cream",234
Pav Bhaji,,,,300
Palak Paneer,"Spinach, Paneer, Cream",Dairy,"Tofu, Coconut cream",132
Spring Roll,"Flour, Cabbage, Carrots, Soy Sauce","Gluten, Soy","Rice paper, Tamari sauce",147
Dal Makhani,"Lentils, Butter, Cream",Dairy,"Oil, Coconut milk",602
Vada Pav,,,,506
Paneer Tikka,"Paneer, Yogurt, Spices",Dairy,"Tofu, Dairy-free yogurt",673
Sev Puri,,,,198
Butter Chicken,"Chicken, Cream, Tomato",Dairy,Coconut cream,783
Samosa,"Potatoes, Peas, Flour, Spices",Gluten,Gluten-free flour,646
Spring Roll,"Flour, Cabbage, Carrots, Soy Sauce","Gluten, Soy","Rice paper, Tamari sauce",712
Pav Bhaji,,,,561
Kheer,"Rice, Milk, Sugar",Dairy,Coconut milk,742
Aloo Tikki,"Potatoes, Breadcrumbs, Spices",Gluten,Cornflour,104
Vada Pav,,,,317
Cold Coffee,"Coffee, Milk, Sugar",Dairy,"Almond milk, Oat milk",602
Lassi,"Yogurt, Sugar",Dairy,Coconut yogurt,497
Biryani,"Rice, Spices, Yogurt",Dairy,Coconut yogurt,492
Rajma Chawal,"Kidney Beans, Rice, Tomato",,,306
Rajma Chawal,"Kidney Beans, Rice, Tomato",,,114
Dal Makhani,"Lentils, Butter, Cream",Dairy,"Oil, Coconut milk",653
Gulab Jamun,"Milk Solids, Sugar, Flour","Dairy, Gluten","Dairy-free milk powder, Gluten-free flour",560
Aloo Tikki,"Potatoes, Breadcrumbs, Spices",Gluten,Cornflour,790
Pav Bhaji,,,,674
Dal Makhani,"Lentils, Butter, Cream",Dairy,"Oil, Coconut milk",340
Filter Coffee,"Coffee, Milk, Sugar",Dairy,"Soy milk, Oat milk",663
Cold Coffee,"Coffee, Milk, Sugar",Dairy,"Almond milk, Oat milk",195
Rajma Chawal,"Kidney Beans, Rice, Tomato",,,584
Sev Puri,,,,506
Rasgulla,"Milk, Sugar",Dairy,Dairy-free milk,330
Lassi,"Yogurt, Sugar",Dairy,Coconut yogurt,754
Spring Roll,"Flour, Cabbage, Carrots, Soy Sauce","Gluten, Soy","Rice paper, Tamari sauce",270
Paneer Tikka,"Paneer, Yogurt, Spices",Dairy,"Tofu, Dairy-free yogurt",640
Pav Bhaji,,,,135
Kulfi,"Milk, Sugar, Nuts","Dairy, Nuts","Coconut milk, Nut-free version",624
Vada Pav,,,,259
Masala Chai,"Tea, Milk, Spices",Dairy,"Almond milk, Soy milk",798
Aloo Tikki,"Potatoes, Breadcrumbs, Spices",Gluten,Cornflour,342
Rasgulla,"Milk, Sugar",Dairy,Dairy-free milk,185
Filter Coffee,"Coffee, Milk, Sugar",Dairy,"Soy milk, Oat milk",677
Rajma Chawal,"Kidney Beans, Rice, Tomato",,,781
Pav Bhaji,,,,656
Kheer,"Rice, Milk, Sugar",Dairy,Coconut milk,673
Filter Coffee,"Coffee, Milk, Sugar",Dairy,"Soy milk, Oat milk",745
Rajma Chawal,"Kidney Beans, Rice, Tomato",,,127
Paneer Tikka,"Paneer, Yogurt, Spices",Dairy,"Tofu, Dairy-free yogurt",719
Dal Makhani,"Lentils, Butter, Cream",Dairy,"Oil, Coconut milk",655
Dal Makhani,"Lentils, Butter, Cream",Dairy,"Oil, Coconut milk",439
Lassi,"Yogurt, Sugar",Dairy,Coconut yogurt,430
Sev Puri,,,,739
Dal Makhani,"Lentils, Butter, Cream",Dairy,"Oil, Coconut milk",605
Biryani,"Rice, Spices, Yogurt",Dairy,Coconut yogurt,447
Pav Bhaji,,,,572
Kheer,"Rice, Milk, Sugar",Dairy,Coconut milk,330
Gulab Jamun,"Milk Solids, Sugar, Flour","Dairy, Gluten","Dairy-free milk powder, Gluten-free flour",289
Samosa,"Potatoes, Peas, Flour, Spices",Gluten,Gluten-free flour,324
Pav Bhaji,,,,484
Palak Paneer,"Spinach, Paneer, Cream",Dairy,"Tofu, Coconut cream",476
Dal Makhani,"Lentils, Butter, Cream",Dairy,"Oil, Coconut milk",382
Masala Chai,"Tea, Milk, Spices",Dairy,"Almond milk, Soy milk",732
Mango Shake,"Mango, Milk, Sugar",Dairy,Coconut milk,727
Sev Puri,,,,358
Paneer Tikka,"Paneer, Yogurt, Spices",Dairy,"Tofu, Dairy-free yogurt",458
Gulab Jamun,"Milk Solids, Sugar, Flour","Dairy, Gluten","Dairy-free milk powder, Gluten-free flour",555
Rasgulla,"Milk, Sugar",Dairy,Dairy-free milk,510
Palak Paneer,"Spinach, Paneer, Cream",Dairy,"Tofu, Coconut cream",748
Dal Makhani,"Lentils, Butter, Cream",Dairy,"Oil, Coconut milk",417
Sev Puri,,,,776
Butter Chicken,"Chicken, Cream, Tomato",Dairy,Coconut cream,324
Aloo Tikki,"Potatoes, Breadcrumbs, Spices",Gluten,Cornflour,333
Palak Paneer,"Spinach, Paneer, Cream",Dairy,"Tofu, Coconut cream",783
Palak Paneer,"Spinach, Paneer, Cream",Dairy,"Tofu, Coconut cream",763
Samosa,"Potatoes, Peas, Flour, Spices",Gluten,Gluten-free flour,473
Aloo Tikki,"Potatoes, Breadcrumbs, Spices",Gluten,Cornflour,771
Aloo Tikki,"Potatoes, Breadcrumbs, Spices",Gluten,Cornflour,707
Mango Shake,"Mango, Milk, Sugar",Dairy,Coconut milk,571
Lassi,"Yogurt, Sugar",Dairy,Coconut yogurt,332
Biryani,"Rice, Spices, Yogurt",Dairy,Coconut yogurt,791
Rajma Chawal,"Kidney Beans, Rice, Tomato",,,212
Palak Paneer,"Spinach, Paneer, Cream",Dairy,"Tofu, Coconut cream",596
Aloo Tikki,"Potatoes, Breadcrumbs, Spices",Gluten,Cornflour,541
Masala Chai,"Tea, Milk, Spices",Dairy,"Almond milk, Soy milk",663
Rajma Chawal,"Kidney Beans, Rice, Tomato",,,367
Gulab Jamun,"Milk Solids, Sugar, Flour","Dairy, Gluten","Dairy-free milk powder, Gluten-free flour",609
Pav Bhaji,,,,485
Palak Paneer,"Spinach, Paneer, Cream",Dairy,"Tofu, Coconut cream",486
Paneer Tikka,"Paneer, Yogurt, Spices",Dairy,"Tofu, Dairy-free yogurt",212
Paneer Tikka,"Paneer, Yogurt, Spices",Dairy,"Tofu, Dairy-free yogurt",712
Aloo Tikki,"Potatoes, Breadcrumbs, Spices",Gluten,Cornflour,724
Lassi,"Yogurt, Sugar",Dairy,Coconut yogurt,180
